N	53.2043	-6.10046	B134	10 Apr 2025	B134\nBray to Greystones\nExpected Departure 00:25	Southbound
R	53.4855	-6.15134	D841	09 Apr 2025	D841\n23:40 - Grand Canal Dock to Dundalk (0 mins late)\nDeparted Donabate next stop Rush and Lusk	To Dundalk
R	53.712	-6.33538	D839	09 Apr 2025	D839\n22:47 - Grand Canal Dock to Dundalk (2 mins late)\nDeparted Drogheda next stop Dundalk	To Dundalk
T	53.2043	-6.10046	E134	09 Apr 2025	E134\n23:05 - Malahide to Bray(-1 mins late)\nTERMINATED Bray at 00:18	Southbound
T	53.3223	-6.52356	D426	09 Apr 2025	D426\n23:30 - Grand Canal Dock to Hazelhatch(0 mins late)\nTERMINATED Hazelhatch at 00:16	Southbound
T	53.3531	-6.24591	E701	09 Apr 2025	E701\n23:20 - Greystones to Dublin Connolly(-2 mins late)\nTERMINATED Dublin Connolly at 00:17	Northbound
T	53.3531	-6.24591	E704	09 Apr 2025	E704\n23:55 - Howth to Dublin Connolly(-2 mins late)\nTERMINATED Dublin Connolly at 00:18	Southbound
T	53.3891	-6.07401	E951	09 Apr 2025	E951\n22:52 - Greystones to Howth(1 mins late)\nTERMINATED Howth at 00:19	Northbound
